Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type,corpus,color
-_LYswugkgw,33.58,-2.01,-5.69,-3.67,-3.32,0.05,Informational interaction,Y,1
-_xORJKb5No,17.49,-4.27,-1.08,3.22,-0.4,0.28,Involved persuasion,Y,1
-_XuDfvsG0Q,23.98,-4.01,-7.63,2.1,-2.44,2.03,Informational interaction,Y,1
00f9cN-G4MQ,-3.25,3.2,3.33,-0.55,-1.29,-0.67,General narrative exposition,Y,1
00OfsM00ctY,19.19,-4.25,-1.66,3.55,-2.1,0.71,Informational interaction,Y,1
00SeMTLTSWo,-1.36,-0.25,-1.44,0.16,0.64,-0.46,Involved persuasion,Y,1
0_4G-RpOt_c,0.94,-0.67,0.74,3.62,-1.48,-1.64,Involved persuasion,Y,1
0_5g0FJVcfw,20.61,2.11,-4.35,-2.27,-3.92,-0.24,Informational interaction,Y,1
0_RSk_kr3fo,-5.56,-3.64,-1.03,0.2,-3.8,-0.0199999999999998,General narrative exposition,Y,1
0-6w45kkhZg,14.91,-3.76,-2.72,-0.48,-0.55,1.64,Involved persuasion,Y,1
0aaa_zVEmgI,21.73,2.55,-0.7,-5.89,-1.72,1.88,Informational interaction,Y,1
0AdqbDVjASE,12.49,-3.85,-2.27,-2.98,-1.48,-0.16,Involved persuasion,Y,1
0AdQUY_6AvQ,30.28,-4.37,-2.86,2.44,3.12,1.97,Informational interaction,Y,1
0aKI3zCcidk,23.1,-4.91,-2.55,2.45,-2.36,-1.24,Informational interaction,Y,1
0ALxeRH5X60,13.91,-2.01,1.15,0.29,1.02,1.68,Involved persuasion,Y,1
0AOVmila-gY,13.85,-2.66,1.12,-1.57,-2.3,7.86,Involved persuasion,Y,1
0APspcZlMZ4,15.3,-4.0,-4.44,0.66,-3.35,1.43,Involved persuasion,Y,1
0aQZaTWUsYo,20.88,5.37,-0.69,-2.73,-2.74,-1.64,Informational interaction,Y,1
0AS06uFXUPo,13.85,-2.62,0.13,1.23,-1.13,0.06,Involved persuasion,Y,1
0asqulWXYCc,22.08,-3.91,-4.99,-0.8,-1.0,3.17,Informational interaction,Y,1
0aTALzB_V2U,26.77,-7.08,-3.75,2.22,0.17,1.53,Informational interaction,Y,1
0AUAPRvNrgk,-8.93,-1.79,1.46,-6.93,-1.62,0.6,General narrative exposition,Y,1
0b1Dw3WLz4E,28.7,-4.85,-3.9,-6.15,-3.92,-1.52,Informational interaction,Y,1
0B3AQuM6uAM,36.98,-2.59,-0.52,1.28,-3.42,1.12,Informational interaction,Y,1
0b3l0proZ2g,3.13,-0.38,-0.0299999999999998,1.15,0.2,-1.47,Involved persuasion,Y,1
0B6BgbpPBJk,27.51,-2.2,-0.27,5.68,-3.12,0.43,Informational interaction,Y,1
0b639zkfXlo,21.14,-1.16,-0.4,2.91,0.83,2.21,Informational interaction,Y,1
0b783nRUWAI,8.57,-6.55,0.89,-3.48,-3.05,-2.12,Involved persuasion,Y,1
0bArySYI_Cc,23.54,-4.52,0.43,-2.45,-2.4,2.71,Informational interaction,Y,1
0bB_cSw0sf0,28.02,-1.72,-1.85,-2.82,0.82,0.31,Informational interaction,Y,1
0BIlRrD1bcU,22.81,3.3,-5.0,-0.75,10.55,2.43,Informational interaction,Y,1
0BJNyw5UVUM,-8.1,-1.65,-4.25,-0.64,-1.76,-2.83,General narrative exposition,Y,1
0bpUamzezdY,20.56,-2.09,-0.2,0.41,-1.98,-0.64,Informational interaction,Y,1
0BR-HgA3mlo,22.92,-4.86,-3.51,0.26,-1.74,2.45,Informational interaction,Y,1
0Bt-JZSVWmk,23.26,-1.15,-1.98,-2.85,-3.03,1.0,Informational interaction,Y,1
0BuKoFPfIhs,12.19,-3.3,-2.34,3.77,-0.0699999999999998,2.5,Involved persuasion,Y,1
0BUPeMogiLc,30.87,-4.23,-3.92,2.22,-2.64,0.34,Informational interaction,Y,1
0c7aVTLtYg8,14.26,-5.27,-0.27,1.55,-1.03,0.17,Involved persuasion,Y,1
0CcVKTMEyHs,35.52,-2.03,0.64,-1.7,-3.47,-0.29,Informational interaction,Y,1
0CendwbAYRA,15.73,-3.43,-3.21,-3.18,-2.56,0.15,Involved persuasion,Y,1
-0cIel9wfxg,-4.42,-5.6,-2.9,-0.49,-2.86,-0.0399999999999998,General narrative exposition,Y,1
0CjBm8heZMI,21.55,-0.91,-1.61,-0.59,-2.06,2.07,Informational interaction,Y,1
0clERdymEa0,11.41,0.57,-2.74,-2.0,-1.89,-0.91,Imaginative narrative,Y,1
0cNUixE7p7w,-7.01,-1.46,2.35,-1.52,0.77,-0.19,General narrative exposition,Y,1
0CS0C0VsZ7s,10.97,-2.42,1.59,2.46,-0.81,-1.28,Involved persuasion,Y,1
0D_pxeE8T0A,4.36,-5.48,-5.74,-2.22,-3.92,2.12,Situated reportage,Y,1
0d3T52C7ki4,16.37,-4.96,-2.79,-3.31,-3.62,2.72,Involved persuasion,Y,1
0De86eVCyPA,23.14,0.52,-2.21,-1.33,0.5,0.31,Informational interaction,Y,1
0DehN7fZJGA,15.41,-4.32,-7.12,-0.17,-0.85,-0.64,Involved persuasion,Y,1
0DH35rGBCtA,-8.54,-0.94,3.61,9.24,3.63,0.18,General narrative exposition,Y,1
0dIRB3yF11g,10.64,0.2,3.79,1.89,-1.08,3.66,Involved persuasion,Y,1
0dMxuqciYNk,27.05,-2.83,-4.43,3.18,-3.68,1.5,Informational interaction,Y,1
0DUeg3ObBHk,21.23,-1.02,-6.92,4.77,1.26,-3.5,Informational interaction,Y,1
0DwDwrLgI5U,12.21,-0.62,2.21,4.66,0.39,1.71,Involved persuasion,Y,1
0dWwmz8k2e4,1.11,-2.74,-0.7,-6.75,-1.15,1.29,Involved persuasion,Y,1
0DxahdMgQmI,4.31,7.17,-0.51,5.78,-1.26,-1.19,Imaginative narrative,Y,1
0dYPMOluAEQ,-11.48,-0.82,0.15,0.82,0.62,2.04,General narrative exposition,Y,1
0E4SxOafka8,14.48,-2.95,-4.69,-2.43,-0.32,0.05,Involved persuasion,Y,1
0eBNsuhbcGY,18.26,-0.32,-1.13,-7.98,-3.55,-2.43,Informational interaction,Y,1
0eCRRKd_K_g,5.39,-2.67,-3.96,-0.63,-2.71,-0.43,Involved persuasion,Y,1
0ejB7OKy4Pg,22.12,-1.77,0.29,0.74,-1.31,1.81,Informational interaction,Y,1
